numero,texte,signataire,organe,dispositif,seance,sort,discussion_commune,discussion_identique,libelleAbrev,cr,url_seance,dispositif_plaintext,scrutin_pred
23,PIONANR5L16BTC2111,PA793246,PO800520,"<p style=""text-align: justify;"">Compl&#x00E9;ter cet article par&nbsp;l&#x2019;alin&#x00E9;a suivant&nbsp;:</p><p style=""text-align: justify;"">&#x00AB;&nbsp;Un bureau de contr&#x00F4;le doit assurer de la bonne r&#x00E9;alisation des travaux de changement de destination. Apr&#x00E8;s ses visites, il rend une d&#x00E9;cision autorisant la nouvelle destination. C&#x2019;est &#x00E9;galement le cas pour les permis de construire &#x00E0; destinations successives.&nbsp;&#x00BB;</p>",RUANR5L16S2024IDS28122,Rejeté,,,RN,CRSANR5L16S2024O1N139,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N139,"Compléter cet article par l’alinéa suivant :« Un bureau de contrôle doit assurer de la bonne réalisation des travaux de changement de destination. Après ses visites, il rend une décision autorisant la nouvelle destination. C’est également le cas pour les permis de construire à destinations successives. »",VTANR5L16V3440
1316,PRJLANR5L16B1682,PA720822,PO800520,"<p style=""text-align: justify;"">Compl&#x00E9;ter cet article par l&#x2019;alin&#x00E9;a suivant&nbsp;:</p><p style=""text-align: justify;"">&#x00AB;&nbsp;III. &#x2013; Le Gouvernement remet au Parlement, dans un d&#x00E9;lai de six mois &#x00E0; compter de la promulgation de la pr&#x00E9;sente loi, un rapport d&#x2019;&#x00E9;valuation portant sur l&#x2019;application&nbsp;du pr&#x00E9;sent article et sur la mise en place d&#x2019;une campagne de sensibilisation sur les infections &#x00E0; papillomavirus humain chez l&#x2019;homme. Ce rapport &#x00E9;value l&#x2019;impact de la promotion du d&#x00E9;pistage et de la vaccination chez le public vis&#x00E9;.&nbsp;&#x00BB;</p>",RUANR5L16S2024IDS27717,Rejeté,,,RN,CRSANR5L16S2024O1N030,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N030,"Compléter cet article par l’alinéa suivant :« III. – Le Gouvernement remet au Parlement, dans un délai de six mois à compter de la promulgation de la présente loi, un rapport d’évaluation portant sur l’application du présent article et sur la mise en place d’une campagne de sensibilisation sur les infections à papillomavirus humain chez l’homme. Ce rapport évalue l’impact de la promotion du dépistage et de la vaccination chez le public visé. »",
1506,PRJLANR5L16B1682,PA793230,PO800520,"<p style=""text-align: justify;"">Compl&#x00E9;ter cet article par les deux alin&#x00E9;as suivants&nbsp;:</p><p style=""text-align: justify;"">&#x00AB;&nbsp;III. &#x2013; Dans un d&#x00E9;lai de six mois &#x00E0; compter de la promulgation de la pr&#x00E9;sente loi, le Gouvernement remet au Parlement un rapport portant sur l&#x2019;application du pr&#x00E9;sent article.</p><p style=""text-align: justify;"">&#x00AB;&nbsp;Ce rapport &#x00E9;value les impacts positifs en termes de sant&#x00E9; et de pr&#x00E9;vention ainsi que le montant r&#x00E9;el du co&#x00FB;t de la suppression de la participation des assur&#x00E9;s aux frais d&#x2019;acquisition du vaccin contre la rougeole, les oreillons et la rub&#x00E9;ole, pour les personnes &#x00E2;g&#x00E9;es de moins de 18 ans. Il fournit &#x00E9;galement des pistes d&#x2019;am&#x00E9;lioration en &#x00E9;valuant l&#x2019;extension de ce dispositif &#x00E0; l&#x2019;ensemble des vaccins obligatoires.&nbsp;&#x00BB;</p>",RUANR5L16S2024IDS27717,Rejeté,,,RN,CRSANR5L16S2024O1N030,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N030,"Compléter cet article par les deux alinéas suivants :« III. – Dans un délai de six mois à compter de la promulgation de la présente loi, le Gouvernement remet au Parlement un rapport portant sur l’application du présent article.« Ce rapport évalue les impacts positifs en termes de santé et de prévention ainsi que le montant réel du coût de la suppression de la participation des assurés aux frais d’acquisition du vaccin contre la rougeole, les oreillons et la rubéole, pour les personnes âgées de moins de 18 ans. Il fournit également des pistes d’amélioration en évaluant l’extension de ce dispositif à l’ensemble des vaccins obligatoires. »",
676,PRJLANR5L16B1682,PA796050,PO800520,"<p style=""text-align: justify;"">Supprimer l&#x2019;alin&#x00E9;a&nbsp;4.</p><p style=""text-align: justify;"">&nbsp;</p>",RUANR5L16S2024IDS27717,Rejeté,,,RN,CRSANR5L16S2024O1N030,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N030,Supprimer l’alinéa 4. ,
1387,PRJLANR5L16B1682,PA794678,PO800520,"<p style=""text-align: justify;"">Supprimer l&#x2019;alin&#x00E9;a&nbsp;4.</p>",RUANR5L16S2024IDS27718,Rejeté,,,RN,CRSANR5L16S2024O1N031,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N031,Supprimer l’alinéa 4.,
1657,PRJLANR5L16B1682,PA793354,PO800520,"<p style=""text-align: justify;"">Compl&#x00E9;ter l&#x2019;alin&#x00E9;a&nbsp;3 par les mots&nbsp;:&nbsp;</p><p style=""text-align: justify;"">&#x00AB;&nbsp;, apr&#x00E8;s concertation avec les organisations syndicales repr&#x00E9;sentatives de ces professions&nbsp;&#x00BB;.</p>",RUANR5L16S2024IDS27717,Rejeté,,,RN,CRSANR5L16S2024O1N030,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N030,"Compléter l’alinéa 3 par les mots : « , après concertation avec les organisations syndicales représentatives de ces professions ».",
677,PRJLANR5L16B1682,PA796050,PO800520,"<p style=""text-align: justify;"">R&#x00E9;diger ainsi l&#x2019;alin&#x00E9;a&nbsp;3&nbsp;:<br><br>&#x00AB;&nbsp;<i>Art.&nbsp;L.&nbsp;162&#x2011;38&#x2011;1</i>. &#x2013; Sont &#x00E9;tablis conform&#x00E9;ment aux articles L.&nbsp;162&#x2011;1-7, L.&nbsp;162&#x2011;14&#x2011;1 et L.&nbsp;162&#x2011;16&#x2011;1&nbsp;:&nbsp;&#x00BB;</p>",RUANR5L16S2024IDS27718,Rejeté,,,RN,CRSANR5L16S2024O1N031,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N031,"Rédiger ainsi l’alinéa 3 :« Art. L. 162‑38‑1. – Sont établis conformément aux articles L. 162‑1-7, L. 162‑14‑1 et L. 162‑16‑1 : »",
30,PIONANR5L16BTC2469,PA796050,PO800520,"<p style=""text-align: justify;"">&#x00C0; la premi&#x00E8;re phrase de l&#x2019;alin&#x00E9;a&nbsp;13, apr&#x00E8;s le mot&nbsp;:</p><p style=""text-align: justify;"">&#x00AB;&nbsp;compris&nbsp;&#x00BB;,&nbsp;</p><p style=""text-align: justify;"">ins&#x00E9;rer les mots&nbsp;:</p><p style=""text-align: justify;"">&#x00AB;&nbsp;&#x00E0; une partie &#x00E0; un proc&#x00E8;s ou&nbsp;&#x00BB;.</p>",RUANR5L16S2024IDS28260,Retiré,,,RN,CRSANR5L16S2024O1N181,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N181,"À la première phrase de l’alinéa 13, après le mot :« compris », insérer les mots :« à une partie à un procès ou ».",
96,PIONANR5L16BTC2469,PA796050,PO800520,"<p style=""text-align: justify;"">&#x00C0; la fin de la premi&#x00E8;re phrase de l&#x2019;alin&#x00E9;a&nbsp;2, supprimer les mots&nbsp;:&nbsp;</p><p style=""text-align: justify;"">&#x00AB;&nbsp;, pris sur proposition d&#x2019;une commission dont la composition et les modalit&#x00E9;s de fonctionnement sont fix&#x00E9;es par d&#x00E9;cret&nbsp;&#x00BB;.</p>",RUANR5L16S2024IDS28259,Rejeté,,,RN,CRSANR5L16S2024O1N180,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N180,"À la fin de la première phrase de l’alinéa 2, supprimer les mots : « , pris sur proposition d’une commission dont la composition et les modalités de fonctionnement sont fixées par décret ».",
75,PIONANR5L16BTC2469,PA795410,PO800520,"<p style=""text-align: justify;"">I.&nbsp;&#x2013;&nbsp;&#x00C0; l&#x2019;alin&#x00E9;a&nbsp;2, supprimer les mots&nbsp;:</p><p style=""text-align: justify;"">&#x00AB;&nbsp;ou, &#x00E0; sa demande et sous son contr&#x00F4;le, par un membre de son &#x00E9;quipe plac&#x00E9; sous son autorit&#x00E9;,&nbsp;&#x00BB;.</p><p style=""text-align: justify;"">II.&nbsp;&#x2013;&nbsp;En cons&#x00E9;quence, &#x00E0; l&#x2019;alin&#x00E9;a&nbsp;4, supprimer les mots&nbsp;:</p><p style=""text-align: justify;"">&#x00AB;&nbsp;ou le membre de son &#x00E9;quipe&nbsp;&#x00BB;.</p>",RUANR5L16S2024IDS28259,Rejeté,,,RN,CRSANR5L16S2024O1N180,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N180,"I. – À l’alinéa 2, supprimer les mots :« ou, à sa demande et sous son contrôle, par un membre de son équipe placé sous son autorité, ».II. – En conséquence, à l’alinéa 4, supprimer les mots :« ou le membre de son équipe ».",VTANR5L16V3705
29,PIONANR5L16BTC2469,PA796050,PO800520,"<p style=""text-align: justify;"">Apr&#x00E8;s l&#x2019;alin&#x00E9;a&nbsp;6,&nbsp;ins&#x00E9;rer l&#x2019;alin&#x00E9;a suivant&nbsp;:</p><p style=""text-align: justify;"">&#x00AB;&nbsp;Ces formations sont assur&#x00E9;es par les centres r&#x00E9;gionaux de formation professionnelle des avocats pr&#x00E9;vus &#x00E0; l&#x2019;article&nbsp;13 de la loi n&#x00B0;&nbsp;71&#x2011;1130 du 31 d&#x00E9;cembre 1971 portant r&#x00E9;forme de certaines professions judiciaires et juridiques. Elles sont financ&#x00E9;es par les entreprises concern&#x00E9;es.&nbsp;&#x00BB;</p>",RUANR5L16S2024IDS28259,Tombé,,,RN,CRSANR5L16S2024O1N180,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N180,"Après l’alinéa 6, insérer l’alinéa suivant :« Ces formations sont assurées par les centres régionaux de formation professionnelle des avocats prévus à l’article 13 de la loi n° 71‑1130 du 31 décembre 1971 portant réforme de certaines professions judiciaires et juridiques. Elles sont financées par les entreprises concernées. »",
95,PIONANR5L16BTC2469,PA796050,PO800520,"<p style=""text-align: justify;"">&#x00C0; la premi&#x00E8;re phrase de l'alin&#x00E9;a 2, substituer au mot :&nbsp;</p><p style=""text-align: justify;"">&#x00AB;&nbsp;&#x00E9;tablies&nbsp;&#x00BB;&nbsp;</p><p style=""text-align: justify;"">le mot :</p><p style=""text-align: justify;"">&#x00AB;&nbsp;&#x00E9;tablie&nbsp;&#x00BB;.</p>",RUANR5L16S2024IDS28259,Rejeté,,,RN,CRSANR5L16S2024O1N180,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N180,"À la première phrase de l'alinéa 2, substituer au mot : « établies » le mot :« établie ».",
27,PIONANR5L16BTC2469,PA796050,PO800520,"<p style=""text-align: justify;"">R&#x00E9;diger ainsi l&#x2019;alin&#x00E9;a&nbsp;6&nbsp;:</p><p style=""text-align: justify;"">&#x00AB;&nbsp;Ces formations sont assur&#x00E9;es par les centres r&#x00E9;gionaux de formation professionnelle des avocats pr&#x00E9;vus &#x00E0; l&#x2019;article&nbsp;13 de la loi n&#x00B0;&nbsp;71&#x2011;1130 du 31 d&#x00E9;cembre 1971 portant r&#x00E9;forme de certaines professions judiciaires et juridiques, selon un r&#x00E9;f&#x00E9;rentiel fix&#x00E9; par d&#x00E9;cret, et financ&#x00E9;es par les entreprises concern&#x00E9;es&nbsp;;&nbsp;&#x00BB;.</p>",RUANR5L16S2024IDS28259,Tombé,,,RN,CRSANR5L16S2024O1N180,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N180,"Rédiger ainsi l’alinéa 6 :« Ces formations sont assurées par les centres régionaux de formation professionnelle des avocats prévus à l’article 13 de la loi n° 71‑1130 du 31 décembre 1971 portant réforme de certaines professions judiciaires et juridiques, selon un référentiel fixé par décret, et financées par les entreprises concernées ; ».",
94,PIONANR5L16BTC2469,PA796050,PO800520,"<p style=""text-align: justify;"">&#x00C0; la premi&#x00E8;re phrase de l&#x2019;alin&#x00E9;a&nbsp;2, apr&#x00E8;s le mot&nbsp;:</p><p style=""text-align: justify;"">&#x00AB;&nbsp;&#x00E9;thiques,&nbsp;&#x00BB;&nbsp;</p><p style=""text-align: justify;"">ins&#x00E9;rer les mots&nbsp;:</p><p style=""text-align: justify;"">&#x00AB;&nbsp;, assur&#x00E9;e par les centres r&#x00E9;gionaux de formation professionnelle des avocats pr&#x00E9;vus &#x00E0; l&#x2019;article&nbsp;13 de la loi n&#x00B0;&nbsp;71&#x2011;1130 du 31 d&#x00E9;cembre 1971 portant r&#x00E9;forme de certaines professions judiciaires et juridiques,&nbsp;&#x00BB;.</p>",RUANR5L16S2024IDS28259,Rejeté,,,RN,CRSANR5L16S2024O1N180,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N180,"À la première phrase de l’alinéa 2, après le mot :« éthiques, » insérer les mots :« , assurée par les centres régionaux de formation professionnelle des avocats prévus à l’article 13 de la loi n° 71‑1130 du 31 décembre 1971 portant réforme de certaines professions judiciaires et juridiques, ».",
84,PIONANR5L16BTC2469,PA795410,PO800520,"<p style=""text-align: justify;"">R&#x00E9;diger ainsi l&#x2019;alin&#x00E9;a&nbsp;14&nbsp;:</p><p style=""text-align: justify;"">&#x00AB;&nbsp;La confidentialit&#x00E9; n&#x2019;est opposable &#x00E0; aucune proc&#x00E9;dure qui se d&#x00E9;roule devant une juridiction, quelle qu&#x2019;en soit la nature, p&#x00E9;nale, fiscale, civile, administrative ou autre.&nbsp;&#x00BB;</p>",RUANR5L16S2024IDS28260,Rejeté,,,RN,CRSANR5L16S2024O1N181,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N181,"Rédiger ainsi l’alinéa 14 :« La confidentialité n’est opposable à aucune procédure qui se déroule devant une juridiction, quelle qu’en soit la nature, pénale, fiscale, civile, administrative ou autre. »",
28,PIONANR5L16BTC2469,PA796050,PO800520,"<p style=""text-align: justify;"">&#x00C0; la fin de l&#x2019;alin&#x00E9;a&nbsp;6, supprimer les mots&nbsp;:</p><p style=""text-align: justify;"">&#x00AB;&nbsp;, pris sur proposition d&#x2019;une commission dont la composition et les modalit&#x00E9;s de fonctionnement sont fix&#x00E9;es par d&#x00E9;cret&nbsp;&#x00BB;.</p><p style=""text-align: justify;"">&nbsp;</p>",RUANR5L16S2024IDS28259,Tombé,,,RN,CRSANR5L16S2024O1N180,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N180,"À la fin de l’alinéa 6, supprimer les mots :« , pris sur proposition d’une commission dont la composition et les modalités de fonctionnement sont fixées par décret ». ",
39,PIONANR5L16BTC1779,PA721932,PO800520,"<p>Dans un d&#x00E9;lai d&#x2019;un an &#x00E0; compter de la promulgation de la pr&#x00E9;sente loi, le Gouvernement remet au Parlement un rapport &#x00E9;valuant la pertinence de la cr&#x00E9;ation d&#x2019;un m&#x00E9;canisme permettant d&#x2019;assurer une continuit&#x00E9; de service pour les fonctions de secr&#x00E9;taire g&#x00E9;n&#x00E9;ral de mairie au sein des communes en cas d&#x2019;arr&#x00EA;t ou de cong&#x00E9; prolong&#x00E9; de l&#x2019;agent ou en cas de d&#x00E9;part de l&#x2019;agent non suivi d&#x2019;un recrutement imm&#x00E9;diat.</p>",RUANR5L16S2024IDS27675,Rejeté,,,RN,CRSANR5L16S2024O1N051,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N051,"Dans un délai d’un an à compter de la promulgation de la présente loi, le Gouvernement remet au Parlement un rapport évaluant la pertinence de la création d’un mécanisme permettant d’assurer une continuité de service pour les fonctions de secrétaire général de mairie au sein des communes en cas d’arrêt ou de congé prolongé de l’agent ou en cas de départ de l’agent non suivi d’un recrutement immédiat.",
116,PIONANR5L16BTC1779,PA794522,PO800520,"<p style=""text-align: justify;"">Apr&#x00E8;s le III de&nbsp;l&#x2019;article L.&nbsp;5211&#x2011;4-1 du code g&#x00E9;n&#x00E9;ral des collectivit&#x00E9;s territoriales, il est ins&#x00E9;r&#x00E9; un III <i>bis</i> ainsi r&#x00E9;dig&#x00E9;&nbsp;:</p><p style=""text-align: justify;"">&#x00AB;&nbsp;III&nbsp;<i>bis.&nbsp;&#x2013;&nbsp;</i>Sur sollicitation de ses communes membres, les &#x00E9;tablissements publics de coop&#x00E9;ration intercommunale mettent &#x00E0; disposition un secr&#x00E9;taire de mairie, au minimum &#x00E0; temps partiel, charg&#x00E9; d&#x2019;accomplir leur fonction au sein de la mairie de la commune demandeuse.</p><p style=""text-align: justify;"">&#x00AB;&nbsp;Le secr&#x00E9;taire de mairie mis &#x00E0; disposition rel&#x00E8;ve de l&#x2019;&#x00E9;tablissement public de coop&#x00E9;ration intercommunale. Il conserve ses conditions de statut et d&#x2019;emploi initiales ainsi que leur r&#x00E9;gime indemnitaire. Les avantages collectivement acquis sont &#x00E9;galement maintenus, &#x00E0; titre individuel.&#x202F;Les dispositions pr&#x00E9;vues au III&nbsp;<i>bis</i> ne s&#x2019;appliquent que pour les communes dont la population n&#x2019;exc&#x00E8;de pas 2 000 habitants.&nbsp;&#x00BB;</p>",RUANR5L16S2024IDS27675,Rejeté,,,RN,CRSANR5L16S2024O1N051,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N051,"Après le III de l’article L. 5211‑4-1 du code général des collectivités territoriales, il est inséré un III bis ainsi rédigé :« III bis. – Sur sollicitation de ses communes membres, les établissements publics de coopération intercommunale mettent à disposition un secrétaire de mairie, au minimum à temps partiel, chargé d’accomplir leur fonction au sein de la mairie de la commune demandeuse.« Le secrétaire de mairie mis à disposition relève de l’établissement public de coopération intercommunale. Il conserve ses conditions de statut et d’emploi initiales ainsi que leur régime indemnitaire. Les avantages collectivement acquis sont également maintenus, à titre individuel. Les dispositions prévues au III bis ne s’appliquent que pour les communes dont la population n’excède pas 2 000 habitants. »",VTANR5L16V2971
