texte,dispositif_txt,DEM,ECOLO,GDR-NUPES,HOR,LFI-NUPES,LIOT,LR,NI,RE,RN,SOC
PIONANR5L16B0324,"Après l’article L. 211‑2 du code de l’énergie, il est inséré un article L. 211‑2‑1 ainsi rédigé :« Art. L. 211‑2‑1. – Les dispositifs d’aides publiques en faveur de la maîtrise de la demande en énergie et de la délivrance des certificats d’économie d’énergie doivent favoriser prioritairement les rénovations globales et performantes des logements par rapport aux gestes uniques. « Un décret fixe les modalités d'application du présent article. »",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PIONANR5L16B0325,Supprimer cet article.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
PIONANR5L16B0325,"À la première phrase de l’alinéa 9, supprimer le mot :« seulement ».",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
PIONANR5L16B0326,"Rédiger ainsi cet article : « L’article L. 917‑1 du code de l’éducation est ainsi modifié :« 1° À la première phrase du premier alinéa, les mots : « peuvent être » sont remplacés par le mot : « sont » ;« 2° Au deuxième alinéa, les mots : « peuvent également être » sont remplacés par les mots : « sont également » ;« 3° Le sixième alinéa est complété par une phrase ainsi rédigée : « Un décret définit les conditions dans lesquelles, lorsque l’État conclut un nouveau contrat avec une personne ayant exercé pendant trois à six ans en qualité d’accompagnant des élèves en situation de handicap en vue de poursuivre ses missions, le contrat peut être à durée indéterminée. » »",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
PIONANR5L16B0329,"Au titre, substituer au mot :« abolir »,le mot :« interdire »",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PIONANR5L16B0329,"Au titre, substituer aux mots :« abolir la corrida : un petit pas pour l’animal, un grand pas pour l’humanité »,les mots :« supprimer les identités régionales. ».",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
PIONANR5L16B0329,"Au titre, substituer aux mots :« abolir la corrida : un petit pas pour l’animal, un grand pas pour l’humanité »,les mots :« affaiblir l’économie du sud de la France. »",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
PIONANR5L16B0329,"Au titre, substituer aux mots :« abolir la corrida : un petit pas pour l’animal, un grand pas pour l’humanité »,les mots :« imposer un mode vie parisien. »",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
PIONANR5L16B0329,"Au titre, substituer aux mots :« abolir la corrida : un petit pas pour l’animal, un grand pas pour l’humanité »,les mots :« restreindre les liberté individuelles. »",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
PIONANR5L16B0329,"I. – Compléter l’alinéa 2 par les mots : « sauf, concernant la seule corrida, dans les régions d’Occitanie, Nouvelle-Aquitaine, Provence-Alpes-Côte d’Azur. »II. – En conséquence, rédiger ainsi les alinéas 4 et 5 :« 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « dans les régions d’Occitanie, de Nouvelle-Aquitaine, et de Provence-Alpes-Côte d’Azur » ;« 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « dans les régions d’Occitanie, de Nouvelle-Aquitaine, et de Provence-Alpes-Côte d’Azur ». »",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PIONANR5L16B0329,"Rédiger ainsi les alinéas 2 et 3 :  « 1° Après la première phrase du onzième alinéa de l’article 521‑1, est insérée une phrase ainsi rédigée : « Tout torero doit avoir fait une formation sur le bien-être animal au sein d’un élevage de taureaux. » ;  « 2° Après la première phrase du second alinéa de l’article 522‑1, est insérée une phrase ainsi rédigée : « Tout torero doit avoir fait une formation sur le bien-être animal au sein d’un élevage de taureaux. » »",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « dans la région Nouvelle-Aquitaine » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « dans la région Nouvelle-Aquitaine ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « dans la région Provence-Alpes-Côte d’Azur » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « dans la région Provence-Alpes-Côte d’Azur ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « dans la région d’Occitanie » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « dans la région d’Occitanie ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « dans le département de la Gironde » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « dans le département de la Gironde ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « dans le département de l’Hérault » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « dans le département de l’Hérault ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « dans le département des Bouches-du-Rhône » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « dans le département des Bouches-du-Rhône ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « dans le département des Hautes-Pyrénées » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « dans le département des Hautes-Pyrénées ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « dans le département des Landes » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « dans le département des Landes ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « dans le département des Pyrénées-Atlantiques » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « dans le département des Pyrénées-Atlantiques ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « dans le département des Pyrénées-Orientales » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « dans le département des Pyrénées-Orientales ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « dans le département du Gard » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « dans le département du Gard ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « dans le département du Gers » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « dans le département du Gers ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
PIONANR5L16B0329,"Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « dans les régions d’Occitanie, Nouvelle-Aquitaine, Provence-Alpes-Côte d’Azur » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « dans les régions d’Occitanie, Nouvelle-Aquitaine, Provence-Alpes-Côte d’Azur ». »",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Bayonne » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Bayonne ». ».,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Bougue » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Bougue ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Dax » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Dax ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Gamarde-les-Bains » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Gamarde-les-Bains ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Garlin » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Garlin ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Gimont » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Gimont ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Hagetmau » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Hagetmau ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Magescq » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Magescq ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Maubourguet » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Maubourguet ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Maurrin » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Maurrin ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Mimizan » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Mimizan ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Mont-de-Marsan » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Mont-de-Marsan ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Mugron » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Mugron ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Parentis-en-Born » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Parentis-en-Born ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Plaisance-du-Gers » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Plaisance-du-Gers ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Pontonx-sur-l’Adour » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Pontonx-sur-l’Adour ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Rion-des-Landes » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Rion-des-Landes ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Riscle » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Riscle ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Roquefort » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Roquefort ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Saint-Perdon » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Saint-Perdon ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Saint-Sever » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Saint-Sever ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Saint-Vincent-de-Tyrosse » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Saint-Vincent-de-Tyrosse ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Soustons » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Soustons ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Vic-Fezensac » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Vic-Fezensac ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Vieux-Baucau-les-Bains » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Vieux-Baucau-les-Bains ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville de Villeneuve-de-Marsan » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville de Villeneuve-de-Marsan ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville d’Aignan » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville d’Aignan ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville d’Aire-sur-l’Adour » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville d’Aire-sur-l’Adour ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville d’Arzacq-Arraziguet » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville d’Arzacq-Arraziguet ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville d’Eauze » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville d’Eauze ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et dans la ville d’Orthez » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et dans la ville d’Orthez ». »,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :  « 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « et en exigeant que les arènes établissent une charte éco-responsable » ;  « 2° La première phrase du second alinéa de l’article 522‑1 est complétée par les mots : « et en exigeant que les arènes établissent une charte éco-responsable ». »,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :« 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « dans les communes membres de l’association de l’Union des villes taurines françaises » ;« 2° La première phrase du second alinéa de l’article 522‑1 du code pénal est complétée par les mots : « dans les communes membres de l’association de l’Union des villes taurines françaises ». »,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
PIONANR5L16B0329,Rédiger ainsi les alinéas 2 et 3 :« 1° Le onzième alinéa de l’article 521‑1 est supprimé ;« 2° Le second alinéa de l’article 522‑1 est supprimé. »,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
PIONANR5L16B0329,"Rédiger ainsi les alinéas 2 et 3 :« 1° La première phrase du onzième alinéa de l’article 521‑1 est complétée par les mots : « dans les régions Occitanie, Nouvelle-Aquitaine, Auvergne Rhône-Alpes et Provence-Alpes-Côte d’Azur » ;« 2° La première phrase du second alinéa de l’article 522‑1 du code pénal est complétée par les mots : « dans les régions Occitanie, Nouvelle-Aquitaine, Auvergne Rhône-Alpes et Provence-Alpes-Côte d’Azur ».",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
PIONANR5L16B0329,Supprimer cet article.,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
PIONANR5L16B0329,Supprimer l’alinéa 2.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PIONANR5L16B0329,Supprimer l’alinéa 3.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
PIONANR5L16B0329,"À la fin du titre, supprimer les mots : « : un petit pas pour l’animal, un grand pas pour l’humanité ». ",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
