numero,texte,signataire,organe,dispositif,seance,sort,discussion_commune,discussion_identique,libelleAbrev,cr,url_seance,dispositif_plaintext,scrutin
18,PIONANR5L16BTC0909,PA795912,PO800520,"<p>I.&#160;&#8211;&#160;&#192; titre exp&#233;rimental et pour une dur&#233;e de deux ann&#233;es scolaires, l&#8217;utilisation des &#233;crans dans les classes de petite, moyenne et grande section des &#233;coles maternelles publiques mentionn&#233;es au 1&#176;&#160;de l&#8217;article D. 311&#8209;10 du code de l&#8217;&#233;ducation est interdite dans un dixi&#232;me des d&#233;partements fran&#231;ais.&#160;</p><p>II.&#160;&#8211;&#160;L&#8217;exp&#233;rimentation fait l&#8217;objet d&#8217;une &#233;valuation dont les r&#233;sultats sont transmis au Parlement.</p><p>III.&#160;&#8211;&#160;Un d&#233;cret fixe les modalit&#233;s d&#8217;application du pr&#233;sent article.&#160;</p>",RUANR5L16S2023IDS26860,Rejeté,,,RN,CRSANR5L16S2023O1N170,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N170,"I. – À titre expérimental et pour une durée de deux années scolaires, l’utilisation des écrans dans les classes de petite, moyenne et grande section des écoles maternelles publiques mentionnées au 1° de l’article D. 311‑10 du code de l’éducation est interdite dans un dixième des départements français. II. – L’expérimentation fait l’objet d’une évaluation dont les résultats sont transmis au Parlement.III. – Un décret fixe les modalités d’application du présent article. ",VTANR5L16V1132
14,PIONANR5L16BTC0909,PA793672,PO800520,"<p style=""text-align: justify;"">Apr&#232;s l&#8217;alin&#233;a&#160;12, ins&#233;rer l&#8217;alin&#233;a suivant&#160;:</p><p style=""text-align: justify;"">&#171;&#160;L&#8217;ensemble des radios et cha&#238;nes de t&#233;l&#233;vision du service public se voient soumises &#224; une obligation de diffusion de spot publicitaire de pr&#233;vention contre la surexposition des enfants aux &#233;crans &#224; des heures de grandes &#233;coutes. Des professionnels de sant&#233;, en contact avec des enfants, doivent intervenir dans la conception du spot afin d&#8217;&#234;tre au plus proche de la r&#233;alit&#233; du terrain. Les modalit&#233;s du contenu ainsi que la fr&#233;quence de ces diffusions sont d&#233;termin&#233;es par d&#233;cret en Conseil d&#8217;&#201;tat apr&#232;s consultation de l&#8217;Autorit&#233; de r&#233;gulation professionnelle de la publicit&#233;.&#160;&#187;</p>",RUANR5L16S2023IDS26860,Rejeté,,,RN,CRSANR5L16S2023O1N170,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N170,"Après l’alinéa 12, insérer l’alinéa suivant :« L’ensemble des radios et chaînes de télévision du service public se voient soumises à une obligation de diffusion de spot publicitaire de prévention contre la surexposition des enfants aux écrans à des heures de grandes écoutes. Des professionnels de santé, en contact avec des enfants, doivent intervenir dans la conception du spot afin d’être au plus proche de la réalité du terrain. Les modalités du contenu ainsi que la fréquence de ces diffusions sont déterminées par décret en Conseil d’État après consultation de l’Autorité de régulation professionnelle de la publicité. »",
16,PIONANR5L16BTC0909,PA795912,PO800520,"<p style=""text-align: justify;"">L&#8217;article L.&#160;312&#8209;9 du code de l&#8217;&#233;ducation est compl&#233;t&#233; par un alin&#233;a ainsi r&#233;dig&#233;&#160;:</p><p>&#171;&#160;Par d&#233;rogation au premier alin&#233;a, une formation&#160;&#224; l&#8217;utilisation responsable des outils et des ressources num&#233;riques ne peut &#234;tre dispens&#233;e dans les &#233;coles maternelles. Les outils num&#233;riques ne sauraient &#234;tre, dans l&#8217;enceinte de ces &#233;tablissements, des supports p&#233;dagogiques pour l&#8217;apprentissage et pour le loisir.&#160;&#187;&#160;</p>",RUANR5L16S2023IDS26860,Rejeté,,,RN,CRSANR5L16S2023O1N170,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N170,"L’article L. 312‑9 du code de l’éducation est complété par un alinéa ainsi rédigé :« Par dérogation au premier alinéa, une formation à l’utilisation responsable des outils et des ressources numériques ne peut être dispensée dans les écoles maternelles. Les outils numériques ne sauraient être, dans l’enceinte de ces établissements, des supports pédagogiques pour l’apprentissage et pour le loisir. » ",VTANR5L16V1130
6,PIONANR5L16BTC0909,PA794678,PO800520,"<p style=""text-align: justify;"">Dans un d&#233;lai de douze mois &#224; compter de la promulgation de la pr&#233;sente loi, le Gouvernent remet au Parlement un rapport sur la corr&#233;lation entre le d&#233;veloppement scolaire et le temps de pr&#233;sence devant les &#233;crans.</p>",RUANR5L16S2023IDS26860,Rejeté,,,RN,CRSANR5L16S2023O1N170,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N170,"Dans un délai de douze mois à compter de la promulgation de la présente loi, le Gouvernent remet au Parlement un rapport sur la corrélation entre le développement scolaire et le temps de présence devant les écrans.",VTANR5L16V1130
11,PIONANR5L16BTC0909,PA793672,PO800520,"<p style=""text-align: justify;"">&#192; la premi&#232;re phrase de l&#8217;alin&#233;a&#160;9, apr&#232;s le mot&#160;: </p><p style=""text-align: justify;"">&#171;&#160;m&#233;dico-social&#160;&#187;,</p><p style=""text-align: justify;"">ins&#233;rer les mots&#160;: </p><p style=""text-align: justify;"">&#171;&#160;, l&#8217;ensemble des professionnels de l&#8217;&#233;ducation&#160;&#187;.</p>",RUANR5L16S2023IDS26858,Rejeté,,,RN,CRSANR5L16S2023O1N167,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N167,"À la première phrase de l’alinéa 9, après le mot : « médico-social »,insérer les mots : « , l’ensemble des professionnels de l’éducation ».",VTANR5L16V1122
95,PIONANR5L16BTC0909,PA793672,PO800520,"<p style=""text-align: justify;"">&#192;&#160;la seconde phrase du premier alin&#233;a de l&#8217;article&#160;L.&#160;2132&#8209;1 du code de sant&#233; publique, apr&#232;s la r&#233;f&#233;rence&#160;: &#171;&#160;L.&#160;2132&#8209;2&#8209;1&#160;&#187;, sont ins&#233;r&#233;s les mots&#160;:&#160;&#171;&#160;au sein d&#8217;une section &#224; part mise en valeur , des messages de pr&#233;vention, actualis&#233;s r&#233;guli&#232;rement &#224; partir des &#233;tudes scientifiques publi&#233;es sur le sujet, relatifs notamment &#224; l&#8217;exposition excessive des enfants aux &#233;crans&#160;&#187;</p>",RUANR5L16S2023IDS26860,Rejeté,,,RN,CRSANR5L16S2023O1N170,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N170,"À la seconde phrase du premier alinéa de l’article L. 2132‑1 du code de santé publique, après la référence : « L. 2132‑2‑1 », sont insérés les mots : « au sein d’une section à part mise en valeur , des messages de prévention, actualisés régulièrement à partir des études scientifiques publiées sur le sujet, relatifs notamment à l’exposition excessive des enfants aux écrans »",VTANR5L16V1135
2,PIONANR5L16BTC0909,PA793354,PO800520,"<p style=""text-align: justify;"">&#192; l&#8217;alin&#233;a&#160;14, apr&#232;s le mot&#160;:</p><p style=""text-align: justify;"">&#171;&#160;t&#233;l&#233;visions&#160;&#187;,</p><p style=""text-align: justify;"">ins&#233;rer les mots&#160;:</p><p style=""text-align: justify;"">&#171;&#160;, de montres et lunettes connect&#233;es&#160;&#187;.&#160;</p>",RUANR5L16S2023IDS26860,Rejeté,,,RN,CRSANR5L16S2023O1N170,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N170,"À l’alinéa 14, après le mot :« télévisions »,insérer les mots :« , de montres et lunettes connectées ». ",VTANR5L16V1136
76,PIONANR5L16BTC0909,PA793672,PO800520,"<p style=""text-align: justify;"">Apr&#232;s le mot&#160;: </p><p style=""text-align: justify;"">&#171;&#160;mots&#160;: &#171;&#160;,&#160;&#187;</p><p style=""text-align: justify;"">ins&#233;rer les mots&#160;:</p><p style=""text-align: justify;"">&#171;&#160;au sein d&#8217;une section &#224; part mise en valeur,&#160;&#187;.</p>",RUANR5L16S2023IDS26860,Rejeté,,,RN,CRSANR5L16S2023O1N170,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N170,"Après le mot : « mots : « , »insérer les mots :« au sein d’une section à part mise en valeur, ».",
17,PIONANR5L16BTC0909,PA795912,PO800520,"<p style=""text-align: justify;"">L&#8217;article L. 312&#8209;17&#8209;3 du code de l&#8217;&#233;ducation est compl&#233;t&#233; par une phrase ainsi r&#233;dig&#233;e : &#171; Elles s&#8217;accompagnent &#233;galement d&#8217;une pr&#233;vention sur les effets des &#233;crans sur l&#8217;alimentation, notamment sur les risques d&#8217;ob&#233;sit&#233; qui y sont li&#233;s &#187;.</p>",RUANR5L16S2023IDS26860,Rejeté,,,RN,CRSANR5L16S2023O1N170,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N170,"L’article L. 312‑17‑3 du code de l’éducation est complété par une phrase ainsi rédigée : « Elles s’accompagnent également d’une prévention sur les effets des écrans sur l’alimentation, notamment sur les risques d’obésité qui y sont liés ».",VTANR5L16V1131
12,PIONANR5L16BTC0909,PA793672,PO800520,"<p style=""text-align: justify;"">Compl&#233;ter l&#8217;alin&#233;a&#160;7 par les mots&#160;:</p><p style=""text-align: justify;"">&#171;&#160;ainsi qu&#8217;&#224; l&#8217;ensemble des &#233;tablissements de p&#233;riscolaire.&#160;&#187;</p>",RUANR5L16S2023IDS26858,Rejeté,,,RN,CRSANR5L16S2023O1N167,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N167,Compléter l’alinéa 7 par les mots :« ainsi qu’à l’ensemble des établissements de périscolaire. »,VTANR5L16V1121
7,PIONANR5L16BTC0909,PA794678,PO800520,"<p style=""text-align: justify;"">&#192; l&#8217;alin&#233;a&#160;5, substituer aux mots&#160;:</p><p style=""text-align: justify;"">&#171;&#160;pr&#233;vention des risques&#160;&#187;</p><p style=""text-align: justify;"">les mots&#160;:</p><p style=""text-align: justify;"">&#171;&#160;sant&#233; publique favorisant&#160;la pr&#233;vention face aux&#160;risques sur la sant&#233;&#160;&#187;.</p>",RUANR5L16S2023IDS26858,Rejeté,,,RN,CRSANR5L16S2023O1N167,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N167,"À l’alinéa 5, substituer aux mots :« prévention des risques »les mots :« santé publique favorisant la prévention face aux risques sur la santé ».",
1,PIONANR5L16BTC0909,PA793354,PO800520,"<p style=""text-align: justify;"">Apr&#232;s l&#8217;alin&#233;a&#160;9, ins&#233;rer l&#8217;alin&#233;a suivant&#160;:</p><p style=""text-align: justify;"">&#171;&#160;Elle doit faire &#233;tat des risques et des cons&#233;quences li&#233;s au d&#233;veloppement du cerveau, en particulier de la substance blanche qui joue un r&#244;le sur les capacit&#233;s d&#8217;apprentissage du langage, de la lecture et de l&#8217;&#233;criture.&#160;&#187;</p>",RUANR5L16S2023IDS26858,Rejeté,,,RN,CRSANR5L16S2023O1N167,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N167,"Après l’alinéa 9, insérer l’alinéa suivant :« Elle doit faire état des risques et des conséquences liés au développement du cerveau, en particulier de la substance blanche qui joue un rôle sur les capacités d’apprentissage du langage, de la lecture et de l’écriture. »",VTANR5L16V1121
84,PIONANR5L16BTC0680,PA794678,PO800520,"<p style=""text-align: justify;"">Compl&#233;ter la premi&#232;re phrase de l&#8217;alin&#233;a&#160;6 par les mots&#160;:</p><p style=""text-align: justify;"">&#171;&#160;sous condition d&#8217;une premi&#232;re prescription d&#8217;un m&#233;decin&#160;&#187;.</p>",RUANR5L16S2023IDS26692,Rejeté,,,RN,CRSANR5L16S2023O1N122,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N122,Compléter la première phrase de l’alinéa 6 par les mots :« sous condition d’une première prescription d’un médecin ».,
90,PIONANR5L16BTC0680,PA793354,PO800520,"<p style=""text-align: justify;"">Compl&#233;ter l&#8217;alin&#233;a&#160;3 par&#160;les mots&#160;:&#160;</p><p style=""text-align: justify;"">&#171;&#160;quel que soit le lieu o&#249; sont pratiqu&#233;s les soins&#160;&#187;.</p>",RUANR5L16S2023IDS26693,Rejeté,,,RN,CRSANR5L16S2023O1N123,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N123,Compléter l’alinéa 3 par les mots : « quel que soit le lieu où sont pratiqués les soins ».,VTANR5L16V870
73,PIONANR5L16BTC0680,PA793354,PO800520,"<p style=""text-align: justify;"">Le minist&#232;re charg&#233; de la sant&#233;&#160;remet un rapport, apr&#232;s vingt-quatre mois r&#233;volus d&#8217;entr&#233;e en vigueur de l'article 1<sup>er</sup>, destin&#233; &#224; &#233;valuer l&#8217;incidence de cette mesure sur la variation &#233;ventuelle de mises en cause en responsabilit&#233; civile professionnelle des infirmiers en pratique avanc&#233;e.</p>",RUANR5L16S2023IDS26693,Rejeté,,,RN,CRSANR5L16S2023O1N123,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N123,"Le ministère chargé de la santé remet un rapport, après vingt-quatre mois révolus d’entrée en vigueur de l'article 1er, destiné à évaluer l’incidence de cette mesure sur la variation éventuelle de mises en cause en responsabilité civile professionnelle des infirmiers en pratique avancée.",
72,PIONANR5L16BTC0680,PA793354,PO800520,"<p style=""text-align: justify;"">Le minist&#232;re charg&#233; de la sant&#233; remet un rapport, apr&#232;s vingt-quatre mois r&#233;volus d&#8217;entr&#233;e en vigueur de l&#8217;article&#160;1<sup>er</sup>, destin&#233; &#224; &#233;valuer la variation des co&#251;ts de prise en charge par les organismes sociaux de chacune des pathologies auxquelles r&#233;pondent les infirmiers en pratique avanc&#233;e par rapport &#224; l&#8217;ann&#233;e pr&#233;c&#233;dant la mise en application.</p>",RUANR5L16S2023IDS26693,Rejeté,,,RN,CRSANR5L16S2023O1N123,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N123,"Le ministère chargé de la santé remet un rapport, après vingt-quatre mois révolus d’entrée en vigueur de l’article 1er, destiné à évaluer la variation des coûts de prise en charge par les organismes sociaux de chacune des pathologies auxquelles répondent les infirmiers en pratique avancée par rapport à l’année précédant la mise en application.",
76,PIONANR5L16BTC0680,PA793354,PO800520,"<p style=""text-align: justify;"">Le minist&#232;re charg&#233; de la sant&#233; remet un rapport, apr&#232;s vingt-quatre mois r&#233;volus d&#8217;entr&#233;e en vigueur de l&#8217;article&#160;2 de la pr&#233;sente loi, destin&#233; &#224; &#233;valuer la variation des co&#251;ts de prise en charge par les organismes sociaux de chacune des pathologies auxquelles r&#233;pondent les masseurs-kin&#233;sith&#233;rapeutes par rapport &#224; l&#8217;ann&#233;e pr&#233;c&#233;dant la mise en application.</p>",RUANR5L16S2023IDS26693,Rejeté,,,RN,CRSANR5L16S2023O1N123,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N123,"Le ministère chargé de la santé remet un rapport, après vingt-quatre mois révolus d’entrée en vigueur de l’article 2 de la présente loi, destiné à évaluer la variation des coûts de prise en charge par les organismes sociaux de chacune des pathologies auxquelles répondent les masseurs-kinésithérapeutes par rapport à l’année précédant la mise en application.",
85,PIONANR5L16BTC0680,PA794678,PO800520,"<p style=""text-align: justify;"">&#192; la&#160;seconde phrase de&#160;l&#8217;alin&#233;a&#160;6, substituer aux mots&#160;:&#160;</p><p style=""text-align: justify;"">&#171;&#160;syst&#233;matiquement&#160;adress&#233; au m&#233;decin traitant du patient et&#160;&#187;</p><p style=""text-align: justify;"">les mots&#160;:</p><p style=""text-align: justify;"">&#171;&#160;soumis au m&#233;decin traitant sous un d&#233;lai que ce dernier d&#233;termine pr&#233;alablement. Ce compte rendu&#160;est&#160;&#187;</p>",RUANR5L16S2023IDS26692,Rejeté,,,RN,CRSANR5L16S2023O1N122,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N122,"À la seconde phrase de l’alinéa 6, substituer aux mots : « systématiquement adressé au médecin traitant du patient et »les mots :« soumis au médecin traitant sous un délai que ce dernier détermine préalablement. Ce compte rendu est »",
80,PIONANR5L16BTC0680,PA794530,PO800520,"<p style=""text-align: justify;"">Compl&#233;ter l&#8217;alin&#233;a&#160;6 par la phrase suivante&#160;:</p><p style=""text-align: justify;"">&#171;&#160;Si le patient en a formul&#233; la demande lors des soins prodigu&#233;s, le m&#233;decin traitant lui donne un avis sur l&#8217;acte r&#233;alis&#233; dans un d&#233;lai de cinq jours ouvr&#233;s.&#160;&#187;</p>",RUANR5L16S2023IDS26692,Rejeté,,,RN,CRSANR5L16S2023O1N122,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N122,"Compléter l’alinéa 6 par la phrase suivante :« Si le patient en a formulé la demande lors des soins prodigués, le médecin traitant lui donne un avis sur l’acte réalisé dans un délai de cinq jours ouvrés. »",
75,PIONANR5L16BTC0680,PA793354,PO800520,"<p style=""text-align: justify;"">Compl&#233;ter la premi&#232;re phrase de l&#8217;alin&#233;a&#160;2 par les mots&#160;:</p><p style=""text-align: justify;"">&#171;&#160;, sous condition de trois ans d&#8217;exercice &#224; compter de l&#8217;obtention de son dipl&#244;me&#160;&#187;.</p>",RUANR5L16S2023IDS26693,Rejeté,,,RN,CRSANR5L16S2023O1N123,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N123,"Compléter la première phrase de l’alinéa 2 par les mots :« , sous condition de trois ans d’exercice à compter de l’obtention de son diplôme ».",
78,PIONANR5L16BTC0680,PA793354,PO800520,"<p style=""text-align: justify;"">Supprimer cet article.</p>",RUANR5L16S2023IDS26693,Rejeté,,,RN,CRSANR5L16S2023O1N123,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N123,Supprimer cet article.,
77,PIONANR5L16BTC0680,PA793354,PO800520,"<p style=""text-align: justify;"">Le minist&#232;re charg&#233; de la sant&#233;&#160;remet un rapport, vingt-quatre mois r&#233;volus apr&#232;s l&#8217;entr&#233;e en vigueur de l&#8217;article&#160;3, destin&#233; &#224; &#233;valuer la variation des co&#251;ts de prise en charge par les organismes sociaux de chacune des pathologies auxquelles r&#233;pondent les orthophonistes par rapport &#224; l&#8217;ann&#233;e pr&#233;c&#233;dant la mise en application de l&#8217;article&#160;3.</p>",RUANR5L16S2023IDS26693,Rejeté,,,RN,CRSANR5L16S2023O1N123,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N123,"Le ministère chargé de la santé remet un rapport, vingt-quatre mois révolus après l’entrée en vigueur de l’article 3, destiné à évaluer la variation des coûts de prise en charge par les organismes sociaux de chacune des pathologies auxquelles répondent les orthophonistes par rapport à l’année précédant la mise en application de l’article 3.",
