uid,objet,type,date,seance,sort
VTANR5L16V1361,l'ensemble de la proposition de loi visant à protéger les logements contre l'occupation illicite (deuxième lecture).,scrutin public solennel,2023-04-04,RUANR5L16S2023IDS26962,adopté
VTANR5L16V1112,l'amendement n° 39 de M. Delaporte après l'article premier de la proposition de loi visant à renforcer la protection des familles d'enfants atteints d'une maladie ou d'un handicap ou victimes d'un accident d'une particulière gravité (première lecture).,scrutin public ordinaire,2023-03-02,RUANR5L16S2023IDS26846,rejeté
VTANR5L16V1145,l'amendement n° 48 du Gouvernement après l'article 1er A de la proposition de loi visant à favoriser l'accompagnement des couples confrontés à une fausse couche (première lecture).,scrutin public ordinaire,2023-03-08,RUANR5L16S2023IDS26863,adopté
VTANR5L16V513,l'amendement n° 14 de M. Cordier et l'amendement identique suivant avant l'article 1 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-11-07,RUANR5L16S2023IDS26445,rejeté
VTANR5L16V1115,l'amendement n° 14 de M. Cinieri à l'article 2 de la proposition de loi visant à garantir le respect du droit à l'image des enfants (première lecture).,scrutin public ordinaire,2023-03-06,RUANR5L16S2023IDS26857,rejeté
VTANR5L16V795,l'amendement n° 2999 de M. Bothorel à l'article 11 decies du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-14,RUANR5L16S2023IDS26639,adopté
VTANR5L16V130,l'amendement n° 1082 de M. Descoeur à l'article 6 et État B du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-25,RUANR5L16S2022IDS26214,adopté
VTANR5L16V591,l'article 10 du projet de loi d'orientation et de programmation du ministère de l'intérieur (première lecture).,scrutin public ordinaire,2022-11-17,RUANR5L16S2023IDS26504,adopté
VTANR5L16V1232,l'article 13 du projet de loi relatif à l’accélération des procédures liées à la construction de nouvelles installations nucléaires à proximité de sites nucléaires existants et au fonctionnement des installations existantes (première lecture).,scrutin public ordinaire,2023-03-16,RUANR5L16S2023IDS26894,adopté
VTANR5L16V1405,l'amendement n° 43 de M. Bayou après l'article premier de la proposition de loi visant à interdire les vols en jets privés (première lecture).,scrutin public ordinaire,2023-04-06,RUANR5L16S2023IDS26968,rejeté
VTANR5L16V1106,l'amendement n° 51 de Mme Amiot à l'article 2 de la proposition de loi visant à instaurer une majorité numérique et à lutter contre la haine en ligne (première lecture).,scrutin public ordinaire,2023-03-02,RUANR5L16S2023IDS26845,rejeté
VTANR5L16V335,l'amendement n° 3209 de M. Vallaud après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-17,RUANR5L16S2023IDS26399,rejeté
VTANR5L16V237,l'amendement n° 111 de Mme Rabault à l'article 5 du projet de loi de programmation des finances publiques pour les années 2023-2027 (première lecture).,scrutin public ordinaire,2022-10-11,RUANR5L16S2023IDS26388,rejeté
VTANR5L16V1018,l'amendement n° 19151 de M. Quatennens après l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-17,RUANR5L16S2023IDS26802,rejeté
VTANR5L16V1542,l'article 13 de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-16,RUANR5L16S2023IDS27060,adopté
VTANR5L16V1548,l'amendement n° 125 de Mme Pochon et l'amendement identique suivant à l'article 15 de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-16,RUANR5L16S2023IDS27060,rejeté
VTANR5L16V1385,l'amendement n° 4 de M. Potier après l'article 3 de la proposition de loi visant à mieux manger en soutenant les Français face à l'inflation et en favorisant l'accès à une alimentation saine (première lecture).,scrutin public ordinaire,2023-04-06,RUANR5L16S2023IDS26967,adopté
VTANR5L16V966,l'amendement n° 20313 de M. Maillard à l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-14,RUANR5L16S2023IDS26792,rejeté
VTANR5L16V1181,l'amendement n° 223 de Mme Pochon à l'article 1er D du projet de loi relatif à l'accélération des procédures lièes à la construction de nouvelles installations nucléaires à proximité de sites nucléaires existants et au fonctionnement des installations existantes (première lecture).,scrutin public ordinaire,2023-03-14,RUANR5L16S2023IDS26879,rejeté
VTANR5L16V306,l'amendement n° 3134 de la commission des finances et les amendements identiques suivants après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,RUANR5L16S2023IDS26396,rejeté
VTANR5L16V1324,l'amendement n° 8 de M. Tivoli à l'article 1er A de la proposition de loi visant à protéger les logements contre l'occupation illicite (deuxième lecture).,scrutin public ordinaire,2023-03-29,RUANR5L16S2023IDS26942,rejeté
VTANR5L16V1239,l'amendement n° 44 de M. Marleix et l'amendement identique suivant après l'article 13 du projet de loi relatif à l’accélération des procédures liées à la construction de nouvelles installations nucléaires à proximité de sites nucléaires existants et au fonctionnement des installations existantes (première lecture).,scrutin public ordinaire,2023-03-16,RUANR5L16S2023IDS26894,rejeté
VTANR5L16V1069,l'amendement n° 3499 de M. Ruffin et les amendements identiques suivants après l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-17,RUANR5L16S2023IDS26803,rejeté
VTANR5L16V506,l'amendement n° 340 de M. Jean-Philippe Tanguy et l'amendement identique suivant avant l'article 1 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-11-07,RUANR5L16S2023IDS26445,rejeté
VTANR5L16V90,l'amendement n° 929 de M. Delaporte avant l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-22,RUANR5L16S2022IDS26241,rejeté
VTANR5L16V634,"la motion de censure déposée en application de l'article 49, alinéa 3, de la Constitution par Mme Mathilde Panot et 74 membres de l'Assemblée.",scrutin public solennel,2022-11-28,RUANR5L16S2023IDS26557,rejeté
VTANR5L16V987,l'amendement n° 3130 de Mme Maximi et les amendements identiques suivants après l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-15,RUANR5L16S2023IDS26795,rejeté
VTANR5L16V1798,l'amendement n° 3 de M. Schreck et les amendements identiques suivants à l'article unique de la proposition de loi visant à permettre une gestion différenciée des compétences « eau » et « assainissement » (première lecture).,scrutin public ordinaire,2023-06-08,RUANR5L16S2023IDS27179,rejeté
VTANR5L16V82,l'amendement n° 806 de Mme Rabault à l'article liminaire du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-22,RUANR5L16S2022IDS26240,rejeté
VTANR5L16V1472,l'article 2 de la proposition de loi visant à protéger le groupe Électricité de France d'un démembrement (deuxième lecture).,scrutin public ordinaire,2023-05-04,RUANR5L16S2023IDS27023,adopté
VTANR5L16V1039,l'amendement n° 3299 de M. Ruffin et les amendements identiques suivants après l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-17,RUANR5L16S2023IDS26803,rejeté
VTANR5L16V1289,l'article 14 bis du projet de loi relatif aux jeux Olympiques et Paralympiques de 2024 et portant diverses autres dispositions (première lecture).,scrutin public ordinaire,2023-03-23,RUANR5L16S2023IDS26892,adopté
VTANR5L16V889,l'article unique du projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et le Gouvernement du Royaume des Pays-Bas relatif à la coopération en matière de défense et au statut de leurs forces sur les territoires caribéens et sud-américain de la République française et du Royaume des Pays-Bas (première lecture).,scrutin public ordinaire,2023-01-25,RUANR5L16S2023IDS26739,adopté
VTANR5L16V460,l'amendement n° 1646 de Mme Youssouffa à l'article 27 et État B de la seconde partie du projet de loi de finances pour 2023 (première lecture) - Mission Outre-Mer.,scrutin public ordinaire,2022-10-28,RUANR5L16S2023IDS26422,adopté
VTANR5L16V1220,l'amendement n° 724 de Mme Battistel à l'article 9 A du projet de loi relatif à l’accélération des procédures liées à la construction de nouvelles installations nucléaires à proximité de sites nucléaires existants et au fonctionnement des installations existantes (première lecture).,scrutin public ordinaire,2023-03-16,RUANR5L16S2023IDS26883,rejeté
VTANR5L16V701,le sous-amendement n° 3145 de M. Fournier à l'amendement n° 2200 de M. Alfandari à l'article 3 (examen prioritaire) du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-08,RUANR5L16S2023IDS26604,rejeté
VTANR5L16V1516,l'article 5 de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-15,RUANR5L16S2023IDS27058,adopté
VTANR5L16V1084,l'amendement n° 3291 de M. Ruffin et les amendements identiques suivants après l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-17,RUANR5L16S2023IDS26803,rejeté
VTANR5L16V1044,l'amendement n° 3191 de Mme Manon Meunier et les amendements identiques suivants après l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-17,RUANR5L16S2023IDS26803,rejeté
VTANR5L16V325,l'amendement n° 2657 de M. Philippe Brun après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-17,RUANR5L16S2023IDS26398,rejeté
VTANR5L16V794,l'amendement n° 2996 de M. Bothorel à l'article 11 decies du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-14,RUANR5L16S2023IDS26639,adopté
VTANR5L16V1015,l'amendement n° 5754 de M. Prud'homme après l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-16,RUANR5L16S2023IDS26798,rejeté
VTANR5L16V631,l'amendement n° 42 rectifié de M. Hébrard à l'article premier de la proposition de loi portant réintégration du personnel des établissements de santé et de secours non-vacciné grâce à un protocole sanitaire renforcé (première lecture).,scrutin public ordinaire,2022-11-24,RUANR5L16S2023IDS26545,rejeté
VTANR5L16V443,l'amendement n° 1440 de Mme Rabault à l'article 27 et État B de la seconde partie du projet de loi de finances pour 2023 (première lecture) - Mission Culture.,scrutin public ordinaire,2022-10-28,RUANR5L16S2023IDS26421,rejeté
